"row_idx" "variable" "value"
"1" 547 "V3" 1
"2" 24 "V7" 1
"3" 63 "V7" 1
"4" 287 "V7" 1
"5" 375 "V7" 1
"6" 484 "V7" 1
"7" 269 "V8" 1
"8" 632 "V8" 1
"9" 98 "V11" 1
"10" 112 "V11" 1
"11" 179 "V11" 1
"12" 180 "V11" 1
"13" 234 "V11" 1
"14" 252 "V11" 1
"15" 262 "V11" 1
"16" 345 "V11" 1
"17" 365 "V11" 1
"18" 366 "V11" 1
"19" 369 "V11" 1
"20" 381 "V11" 1
"21" 406 "V11" 1
"22" 412 "V11" 1
"23" 496 "V11" 1
"24" 517 "V11" 1
"25" 49 "V13" 1
"26" 51 "V13" 1
"27" 59 "V13" 1
"28" 102 "V13" 1
"29" 121 "V13" 1
"30" 149 "V13" 1
"31" 186 "V13" 1
"32" 207 "V13" 1
"33" 229 "V13" 1
"34" 273 "V13" 1
"35" 303 "V13" 1
"36" 330 "V13" 1
"37" 341 "V13" 1
"38" 372 "V13" 1
"39" 401 "V13" 1
"40" 478 "V13" 1
"41" 589 "V13" 1
"42" 598 "V13" 1
"43" 617 "V13" 1
"44" 625 "V13" 1
"45" 679 "V13" 1
"46" 695 "V13" 1
"47" 638 "V14" 1
"48" 256 "V15" 1
"49" 619 "V17" 1
"50" 660 "V17" 1
"51" 638 "V19" 1
"52" 342 "V20" 1
"53" 369 "V20" 1
"54" 142 "V22" 1
"55" 237 "V26" 1
"56" 12 "V27" 1
"57" 17 "V27" 1
"58" 49 "V27" 1
"59" 65 "V27" 1
"60" 94 "V27" 1
"61" 102 "V27" 1
"62" 121 "V27" 1
"63" 131 "V27" 1
"64" 161 "V27" 1
"65" 202 "V27" 1
"66" 226 "V27" 1
"67" 244 "V27" 1
"68" 272 "V27" 1
"69" 331 "V27" 1
"70" 507 "V27" 1
"71" 521 "V27" 1
"72" 535 "V27" 1
"73" 565 "V27" 1
"74" 570 "V27" 1
"75" 617 "V27" 1
"76" 618 "V27" 1
"77" 651 "V27" 1
"78" 663 "V27" 1
"79" 672 "V27" 1
"80" 159 "V32" 1
"81" 194 "V33" 1
"82" 464 "V34" 1
"83" 503 "V34" 1
"84" 79 "V35" 1
"85" 430 "V35" 1
"86" 538 "V35" 1
"87" 509 "V40" 1
"88" 659 "V40" 1
"89" 623 "V41" 1
"90" 177 "V44" 1
"91" 429 "V46" 1
"92" 530 "V46" 1
"93" 622 "V46" 1
"94" 27 "V49" 1
"95" 62 "V49" 1
"96" 84 "V49" 1
"97" 175 "V49" 1
"98" 195 "V49" 1
"99" 293 "V49" 1
"100" 303 "V49" 1
"101" 433 "V49" 1
"102" 542 "V49" 1
"103" 547 "V49" 1
"104" 553 "V49" 1
"105" 562 "V49" 1
"106" 576 "V49" 1
"107" 585 "V49" 1
"108" 25 "V50" 1
"109" 49 "V50" 1
"110" 65 "V50" 1
"111" 94 "V50" 1
"112" 102 "V50" 1
"113" 121 "V50" 1
"114" 131 "V50" 1
"115" 161 "V50" 1
"116" 176 "V50" 1
"117" 202 "V50" 1
"118" 226 "V50" 1
"119" 229 "V50" 1
"120" 244 "V50" 1
"121" 272 "V50" 1
"122" 331 "V50" 1
"123" 374 "V50" 1
"124" 377 "V50" 1
"125" 393 "V50" 1
"126" 521 "V50" 1
"127" 525 "V50" 1
"128" 535 "V50" 1
"129" 565 "V50" 1
"130" 570 "V50" 1
"131" 617 "V50" 1
"132" 625 "V50" 1
"133" 672 "V50" 1
"134" 678 "V50" 1
"135" 347 "V61" 1
"136" 565 "V61" 1
"137" 695 "V61" 1
"138" 350 "V63" 1
"139" 10 "V65" 1
"140" 655 "V65" 1
"141" 670 "V65" 1
"142" 123 "V68" 1
"143" 261 "V68" 1
"144" 301 "V68" 1
"145" 364 "V68" 1
"146" 586 "V68" 1
"147" 588 "V68" 1
"148" 662 "V68" 1
"149" 13 "V72" 1
"150" 44 "V72" 1
"151" 145 "V72" 1
"152" 184 "V72" 1
"153" 307 "V72" 1
"154" 311 "V72" 1
"155" 389 "V72" 1
"156" 397 "V72" 1
"157" 424 "V72" 1
"158" 524 "V72" 1
"159" 608 "V72" 1
"160" 669 "V72" 1
"161" 673 "V72" 1
"162" 123 "V74" 1
"163" 154 "V74" 1
"164" 310 "V74" 1
"165" 588 "V74" 1
"166" 662 "V74" 1
"167" 385 "V79" 1
"168" 478 "V79" 1
"169" 32 "V83" 1
"170" 371 "V83" 1
"171" 49 "V84" 1
"172" 51 "V84" 1
"173" 59 "V84" 1
"174" 102 "V84" 1
"175" 330 "V84" 1
"176" 372 "V84" 1
"177" 478 "V84" 1
"178" 589 "V84" 1
"179" 598 "V84" 1
"180" 617 "V84" 1
"181" 625 "V84" 1
"182" 121 "V85" 1
"183" 142 "V86" 1
"184" 84 "V89" 1
"185" 334 "V90" 1
"186" 676 "V90" 1
"187" 497 "V95" 1
"188" 555 "V95" 1
"189" 562 "V95" 1
"190" 414 "V96" 1
"191" 694 "V96" 1
"192" 18 "V99" 1
"193" 58 "V99" 1
"194" 124 "V99" 1
"195" 128 "V99" 1
"196" 214 "V99" 1
"197" 243 "V99" 1
"198" 258 "V99" 1
"199" 266 "V99" 1
"200" 295 "V99" 1
"201" 522 "V99" 1
"202" 553 "V99" 1
"203" 562 "V99" 1
"204" 570 "V99" 1
"205" 600 "V99" 1
"206" 695 "V99" 1
"207" 333 "V100" 1
"208" 432 "V100" 1
"209" 575 "V100" 1
"210" 581 "V100" 1
"211" 350 "V102" 1
"212" 26 "V103" 1
"213" 63 "V103" 1
"214" 407 "V103" 1
"215" 136 "V107" 1
"216" 256 "V107" 1
"217" 66 "V109" 1
"218" 133 "V109" 1
"219" 293 "V109" 1
"220" 432 "V109" 1
"221" 433 "V109" 1
"222" 434 "V109" 1
"223" 1 "V113" 1
"224" 142 "V114" 1
"225" 269 "V114" 1
"226" 632 "V114" 1
"227" 638 "V114" 1
"228" 32 "V115" 1
"229" 177 "V115" 1
"230" 371 "V115" 1
